ID,Name,Attribute,Race,Max Lvl,Exp Curve,Max Exp,Rarity,Cost,Series,Lvl 1 HP,Lvl 1 ATK,Lvl 1 REC,Lvl Max HP,Lvl Max ATK,Lvl Max REC,Active Skill 1,Active Skill 1 Description,Active Skill 2,Active Skill 2 Description,Leader Skill,Leader Skill Description
467,Elizabeth the Blood Countess,Water,Demon,99,5000K,5000000,6,15,Crimson Grace,672,1069,72,1274,1936,352,Truculence of Killer,Team Attack x 1.5. The no. of enemies defeated in the Round of activation becomes the number of Round the Skill stays in play (enemies defeated by Active Skills excluded).,,,Truculence Overflow - Water,"Every time Water Runestones are dissolved, Water Attack increases. If no Water Runestones are dissolved for 2 consecutive Rounds, Attack decreases. When Attack reaches the max x 3, Attack decreases if no Water Runestones are dissolved for 1 Round"
468,Jackie the Postwoman,Fire,Demon,50,4000K,1000000,5,8,Crimson Grace,391,633,37,725,1121,171,Gnawing of Killer,Single Attack becomes Full Attack. The no. of enemies defeated in the Round of activation becomes the number of Round the Skill stays in play (enemies defeated by Active Skills excluded).,,,Truculence Overflow - Fire,"Every time Fire Runestones are dissolved, Fire Attack increases. If no Fire Runestones are dissolved for 2 consecutive Rounds, Attack decreases. When Attack reaches the max x 3, Attack decreases if no Fire Runestones are dissolved for 1 Round"
469,Jackie the Spring-heeled,Fire,Demon,99,5000K,5000000,6,15,Crimson Grace,680,1101,63,1289,1992,307,Gnawing of Killer,Single Attack becomes Full Attack. The no. of enemies defeated in the Round of activation becomes the number of Round the Skill stays in play (enemies defeated by Active Skills excluded).,,,Truculence Overflow - Fire,"Every time Fire Runestones are dissolved, Fire Attack increases. If no Fire Runestones are dissolved for 2 consecutive Rounds, Attack decreases. When Attack reaches the max x 3, Attack decreases if no Fire Runestones are dissolved for 1 Round"
470,Engaged Belle,Earth,Demon,50,4000K,1000000,5,8,Crimson Grace,438,571,40,812,1011,184,Truculence of Killer,Team Attack x 1.5. The no. of enemies defeated in the Round of activation becomes the number of Round the Skill stays in play (enemies defeated by Active Skills excluded).,,,Truculence Overflow - Earth,"Every time Earth Runestones are dissolved, Earth Attack increases. If no Earth Runestones are dissolved for 2 consecutive Rounds, Attack decreases. When Attack reaches the max x 3, Attack decreases if no Earth Runestones are dissolved for 1 Round"
471,Belle the Poppy Bride,Earth,Demon,99,5000K,5000000,6,15,Crimson Grace,785,1024,70,1490,1854,342,Truculence of Killer,Team Attack x 1.5. The no. of enemies defeated in the Round of activation becomes the number of Round the Skill stays in play (enemies defeated by Active Skills excluded).,,,Truculence Overflow - Earth,"Every time Earth Runestones are dissolved, Earth Attack increases. If no Earth Runestones are dissolved for 2 consecutive Rounds, Attack decreases. When Attack reaches the max x 3, Attack decreases if no Earth Runestones are dissolved for 1 Round"
472,Jack the Gentleman,Light,Demon,50,4000K,1000000,5,8,Crimson Grace,407,578,44,753,1022,203,Truculence of Killer,Team Attack x 1.5. The no. of enemies defeated in the Round of activation becomes the number of Round the Skill stays in play (enemies defeated by Active Skills excluded).,,,Bloody Rage of Demons,Demon Attack x 2; HP x 1.5
473,Jack the Ripper,Light,Demon,99,5000K,5000000,6,15,Crimson Grace,727,1035,78,1381,1874,376,Truculence of Killer,Team Attack x 1.5. The no. of enemies defeated in the Round of activation becomes the number of Round the Skill stays in play (enemies defeated by Active Skills excluded).,,,Bloody Rage of Demons,Demon Attack x 2; HP x 1.5
474,Todd the Puppet Barber,Dark,Demon,50,4000K,1000000,5,8,Crimson Grace,371,664,38,688,1173,177,Gnawing of Killer,Single Attack becomes Full Attack. The no. of enemies defeated in the Round of activation becomes the number of Round the Skill stays in play (enemies defeated by Active Skills excluded).,,,Nature of Demons,"Demon Attack, HP and Recovery x 1.5"
475,Todd the Sarcastic Clown,Dark,Demon,99,5000K,5000000,6,15,Crimson Grace,631,1129,64,1199,2042,313,Gnawing of Killer,Single Attack becomes Full Attack. The no. of enemies defeated in the Round of activation becomes the number of Round the Skill stays in play (enemies defeated by Active Skills excluded).,,,Nature of Demons,"Demon Attack, HP and Recovery x 1.5"
476,Bogle the Snow Enchanter,Water,Elf,99,4000K,4000000,5,10,Ridiculous Elves,870,416,267,1443,897,709,Genius Time Extension,Greatly extend Runestone-moving time to 15 seconds.,,,Burning the Boats,Team Attack x 3 for 10 Rounds
477,Boggart the Mischievous Fairy,Fire,Elf,99,4000K,4000000,5,10,Ridiculous Elves,915,445,237,1518,959,630,Genius Time Extension,Greatly extend Runestone-moving time to 15 seconds.,,,Burning the Boats,Team Attack x 3 for 10 Rounds
478,Brownie the Cleaning Elf,Earth,Elf,99,4000K,4000000,5,10,Ridiculous Elves,1006,383,250,1669,826,664,Genius Time Extension,Greatly extend Runestone-moving time to 15 seconds.,,,Burning the Boats,Team Attack x 3 for 10 Rounds
479,Santa Claus the Deep Thinker,Fire,Human,99,6000K,6000000,6,35,Guild Event,850,559,169,2075,1365,471,Surprise,Unlimited movements of Runestones in 15 seconds without dissolving.,,,Spirit of Human & Elves,Human and Elf Attack x 2.5
480,The Great Mother of Lust,Water,Human,99,4000K,4000000,6,20,The Seven Deadly Sins,1021,561,170,2004,1102,381,Spiritual Vitality of Water,Water Runestones also possess the effect of Heart Runestones for 2 Rounds.,,,Fury of Human,Human Attack x 2.5
481,"Urd, Valkyrie of Memory",Water,God,99,4000K,4000000,6,14,The Norns,1030,677,278,2540,1252,632,Frosting Moment,Inactivate all enemies and change their Attribute into Water for 3 Rounds; Extend Runestone-moving time by 5 seconds when the Skill is in play.,,,Active Defense - Water,Water Runestones also possess 50% effect of Heart Runestones
482,"Skuld, Valkyrie of Cycle",Fire,God,99,4000K,4000000,6,14,The Norns,1011,713,247,2502,1318,562,Time Trickster of Fire,Unlimited movement of Runestones in 10 seconds without dissolving; Fire Attack x 2 when 8 or more Combos are made.,,,Active Defense - Fire,Fire Runestones also possess 50% effect of Heart Runestones
483,"Verthandi, Valkyrie of Destiny",Earth,God,99,4000K,4000000,6,14,The Norns,1179,623,260,2835,1152,591,Saprophytism,"Absorb enemies' HP every Round as much as 2x of the Monster's Recovery, regardless of Defense, Attribute and Skills until the enemy's defeat. The effect could be superimposed at most 3 times.",,,Active Defense - Earth,Earth Runestones also possess 50% effect of Heart Runestones
484,Idun the Everlasting Priest,Light,God,99,4000K,4000000,6,14,The Norns,1062,630,285,2603,1165,649,Healing Field,Recover HP by 10x Recovery for 5 Rounds.,,,Ultra Recovery,HP will be recovered as much as 7x Monster's Recovery each Round (dissolving Runestones is necessary)
485,Brynhildr the Scythe Warrior,Dark,God,99,4000K,4000000,6,14,The Norns,1015,732,257,2510,1354,585,Cut Through,"Team Attack x 1.5 for 1 Round.  Release all locked Skills; nullify all Controlling Skills on all enemies.  This Skill will not be locked.  If all enemies in the Wave are defeated in the Round of activation, Team Attack x 2.5 in the next Round.",,,Ultimate Soul Reaping,"Launch an extra attack of as much as 6x of the Monster's Attack each Round to the enemy whose HP is below 40%, regardless of Attribute and Defense"
486,The Pawn of Water,Water,Demon,30,2000K,175136,3,5,Pawns,131,205,20,400,596,162,Ice Slash - EX,Deal 10x Water Damage to an enemy.,,,Power of Demons,Demon Attack x 1.5
487,The Pawn of Fire,Fire,Demon,30,2000K,175136,3,5,Pawns,137,219,18,421,637,144,Burning Strike - EX,Deal 10x Fire Damage to an enemy.,,,Power of Demons,Demon Attack x 1.5
488,The Pawn of Earth,Earth,Demon,30,2000K,175136,3,5,Pawns,151,189,19,463,549,151,Earth Smash - EX,Deal 10x Earth Damage to an enemy.,,,Power of Demons,Demon Attack x 1.5
489,The Pawn of Light,Light,Demon,30,2000K,175136,3,5,Pawns,136,191,21,417,555,166,Light Beam - EX,Deal 10x Light Damage to an enemy.,,,Power of Demons,Demon Attack x 1.5
490,The Pawn of Darkness,Dark,Demon,30,2000K,175136,3,5,Pawns,128,225,19,392,655,150,Dark Torment - EX,Deal 10x Dark Damage to an enemy.,,,Power of Demons,Demon Attack x 1.5
491,The Lost Mad Hatter,Water,Elf,99,2500K,2500000,6,10,Residents of Wonderland,852,489,177,1626,933,400,Free Movement,Monsters' Active Skills will not be locked for 3 Rounds.,,,Spirit of Beasts & Elves,Beast and Elf Attack x 2
492,March Hare the Insane,Fire,Beast,99,2500K,2500000,6,10,Residents of Wonderland,1319,623,56,2587,1134,131,Multi-hit Shield,The Team will not be attacked by multi-hit for 3 Rounds.,,,Spirit of Beasts & Elves,Beast and Elf Attack x 2
493,Caterpillar the Remonstrator,Earth,Elf,99,2500K,2500000,6,10,Residents of Wonderland,985,450,165,1880,859,373,Antidote,The Team will not be affected by Poisoning Skills for 3 Rounds.,,,Spirit of Beasts & Elves,Beast and Elf Attack x 2
494,Dormouse of the Round Table,Light,Beast,99,2500K,2500000,6,10,Residents of Wonderland,1306,569,66,2562,1036,153,Counterattack Wall,Damage from enemies' counterattack -100% for 1 Round.,,,Spirit of Beasts & Elves,Beast and Elf Attack x 2
495,Smiling Cheshire Cat,Dark,Beast,99,2500K,2500000,6,10,Residents of Wonderland,1227,640,58,2408,1164,137,Threat Removal,Specific enemy causes no Damages to Summoner after death.,,,Spirit of Beasts & Elves,Beast and Elf Attack x 2
496,Tyrant - The Queen of Hearts,Fire,Human,99,4000K,4000000,6,20,Ultimate Lords,799,570,154,1954,1392,431,Transfiguration - Heart,"Randomly turn Runestones as much as the accumulated Rounds into Heart Runestones, to the max 7 Runestones (dissolving Runestones is necessary). The number of Runestones to be converted will reset after activation.",,,Motion of Heart,"For every 3 Heart Runestones dissolved, 1 Enchanted Heart Runestone will be generated"
497,The Merry Puppy,Light,Beast,50,5000K,1250000,5,10,Komainus of the Temple,702,325,36,1319,569,80,Attack Conversion - Light & Dark,Turn Heart Runestones into Light Runestones; Dark Runestones into Heart Runestones,,,Ancient Promise - Light,"In Stages ""Light Soulstones Discovered"" and ""The Return of Light Soulstones"", there is a 50% chance a Millennium Soulstone appears in the last Wave (the probability can be summed up)."
498,The Komainu of Fortune,Light,Beast,99,5000K,5000000,6,15,Komainus of the Temple,1309,608,67,2567,1105,155,Attack Conversion - Light & Dark,Turn Heart Runestones into Light Runestones; Dark Runestones into Heart Runestones,,,Ancient Promise - Light,"In Stages ""Light Soulstones Discovered"" and ""The Return of Light Soulstones"", there is a 50% chance a Millennium Soulstone appears in the last Wave (the probability can be summed up)."
499,The Grumpy Puppy,Dark,Beast,50,5000K,1250000,5,10,Komainus of the Temple,648,377,32,1218,660,70,Attack Conversion - Dark & Light,Turn Heart Runestones into Dark Runestones; Light Runestones into Heart Runestones,,,Ancient Promise - Dark,"In Stages ""Dark Soulstones Discovered"" and ""The Return of Dark Soulstones"", there is a 50% chance a Millennium Soulstone appears in the last Wave (the probability can be summed up)."
500,The Komainu of Retribution,Dark,Beast,99,5000K,5000000,6,15,Komainus of the Temple,1208,705,58,2370,1281,137,Attack Conversion - Dark & Light,Turn Heart Runestones into Dark Runestones; Light Runestones into Heart Runestones,,,Ancient Promise - Dark,"In Stages ""Dark Soulstones Discovered"" and ""The Return of Dark Soulstones"", there is a 50% chance a Millennium Soulstone appears in the last Wave (the probability can be summed up)."
501,Keeper of Festivals - Nian,Light,God,99,3000K,3000000,6,15,Guild Event,1592,776,196,2428,1104,344,Ready for Strike,No Damage will be dealt to all enemies for 1 Round.  Combos made in the Round will be added to the next.,,,Spirits of Runes - Light,"By dissolving a group of 4 or more Light Runestones, Light Attack x 2.5"
502,The Craving Cryptid,Earth,Evolve Elements,1,500K,0,5,20,Power Release Materials,1200,800,300,1200,800,300,Super Healing Potion,Recover HP by 10x Monster's Recovery,,,The Healing Duo,Transform 30% of Damage received into HP recovery
503,Mosasaur,Water,Evolve Elements,1,500K,0,5,20,Power Release Materials,1200,800,300,1200,800,300,Super Healing Potion,Recover HP by 10x Monster's Recovery,,,The Healing Duo,Transform 30% of Damage received into HP recovery
504,Bewitching Fairy,Dark,Evolve Elements,1,500K,0,5,20,Power Release Materials,1200,800,300,1200,800,300,Super Healing Potion,Recover HP by 10x Monster's Recovery,,,The Healing Duo,Transform 30% of Damage received into HP recovery
505,The Heartless Umpire,Fire,Evolve Elements,1,500K,0,5,20,Power Release Materials,1200,800,300,1200,800,300,Super Healing Potion,Recover HP by 10x Monster's Recovery,,,The Healing Duo,Transform 30% of Damage received into HP recovery
506,Freyr the Immortal Warrior,Water,God,99,6500K,6500000,7,20,Norse Gods,1710,812,208,3387,1502,473,Rune Enchantment - Water,Turn all Water Runestones into Enchanted Water Runestones.,,,Fury of Water,Water Attack x 2.5
507,Tyr of Conflagration,Fire,God,99,6500K,6500000,7,20,Norse Gods,1799,869,185,3564,1606,421,Rune Enchantment - Fire,Turn all Fire Runestones into Enchanted Fire Runestones.,,,Fury of Fire,Fire Attack x 2.5
508,Freyja the Solace Whisperer,Earth,God,99,6500K,6500000,7,20,Norse Gods,1904,787,194,3772,1455,442,Rune Enchantment - Earth,Turn all Earth Runestones into Enchanted Earth Runestones.,,,Fury of Earth,Earth Attack x 2.5
509,Thor of Fulmination,Light,God,99,6500K,6500000,7,20,Norse Gods,1797,796,222,3560,1472,505,Rune Enchantment - Light,Turn all Light Runestones into Enchanted Light Runestones.,,,Fury of Light,Light Attack x 2.5
510,Loki the Everlasting Sinner,Dark,God,99,6500K,6500000,7,20,Norse Gods,1674,893,192,3316,1651,438,Rune Enchantment - Dark,Turn all Dark Runestones into Enchanted Dark Runestones.,,,Fury of Darkness,Dark Attack x 2.5
511,Qinglong the Prime King,Water,Dragon,99,3000K,3000000,6,14,Chinese Mythological Beasts,1774,676,72,3575,1123,80,Offensive Stance - Water,Turn all Heart Runestones into Water Runestones.,,,Roar of the Dragon,"For each Dragon in the Team, Attack +200; Dragon Attack x 2.5"
512,Zhuque the Vermilion Bird,Fire,Beast,99,3000K,3000000,6,14,Chinese Mythological Beasts,1527,686,171,2996,1247,314,Defensive Stance - Fire,Turn all Earth Runestones into Heart Runestones.,,,Awakening of Beasts,Beast Recovery x 3
513,Xuanwu the Divine Lord,Earth,Beast,99,3000K,3000000,6,14,Chinese Mythological Beasts,1679,590,180,3292,1073,329,Defense Wall,Damage received -60% for 3 Rounds.,,,Gore of Beasts,Beast HP x 3
514,Baihu the Beast Ruler,Light,Beast,99,3000K,3000000,6,14,Chinese Mythological Beasts,1374,542,180,2696,986,329,Extreme Danger,Defense of all enemies -90% for 3 Rounds; Delay their actions for 1 Round,,,Roar of the Beast,Beast Attack x 3
515,Taotie the Depraved Monarch,Dark,Beast,99,3000K,3000000,6,14,Chinese Mythological Beasts,1292,640,162,2535,1164,297,Defensive Stance - Dark,Turn all Light Runestones into Heart Runestones.,,,Roar of the Beast,Beast Attack x 3
516,Rising Phoenix,Fire,Beast,30,3000K,262704,2,2,Festive Spirits,138,59,5,519,205,25,Flame Strike,Deal 10x Fire Damage to all enemies,,,Heart of Elves,Elf HP x 1.5
517,Phantom Swordsman,Water,Beast,30,4000K,350271,3,4,Festive Spirits,284,123,13,646,260,35,Wave Strike,Deal 10x Water Damage to all enemies,,,Power of Elves,Elf Attack x 1.5
518,Dagger Wielder,Light,Beast,30,3500K,306487,4,8,Plump Precious Beasts,573,225,25,950,352,48,Flash Strike,Deal 10x Light Damage to all enemies,,,Song of Elves,Elf Recovery x 1.5
519,"Eostre, Goddess of Spring",Light,God,99,2500K,2500000,6,12,Guild Event,1052,581,242,2083,1074,551,Recuperation,Recover 50% HP.,,,Focus,Extend Runestone-moving time by 3 seconds
520,Proud Wolf Chieftain,Earth,Beast,99,4000K,4000000,6,20,The Seven Deadly Sins,1564,551,55,3068,1001,129,Recuperation,Recover 50% HP.,,,Might of Beasts,Beast Attack x 2.5; Recovery x 1.5
521,Ocean Troopers,Water,Elf,30,2000K,175136,3,4,Celestial Devotees,151,79,34,363,191,102,Massive Invasion - Water,Launch 5 Water Attacks to all enemies.,,,Heart of Elves,Elf HP x 1.5
522,Armored Soldiers,Water,Elf,70,4000K,1982924,4,8,Celestial Devotees,313,165,72,810,427,230,Attack Enchantment - Water,Turn all Heart Runestones into Enchanted Water Runestones.,,,Heart of Elves,Elf HP x 1.5
523,Faith Pursuer,Fire,Elf,30,2000K,175136,3,4,Celestial Devotees,159,84,30,382,204,90,Massive Invasion - Fire,Launch 5 Fire Attacks to all enemies.,,,Heart of Elves,Elf HP x 1.5
524,Kunlun Taoist,Fire,Elf,70,4000K,1982924,4,8,Celestial Devotees,330,176,64,853,456,204,Attack Enchantment - Fire,Turn all Heart Runestones into Enchanted Fire Runestones.,,,Heart of Elves,Elf HP x 1.5
525,Spirit of Pine Wood,Earth,Elf,30,2000K,175136,3,4,Celestial Devotees,174,73,32,419,176,95,Massive Invasion - Earth,Launch 5 Earth Attacks to all enemies.,,,Heart of Elves,Elf HP x 1.5
526,Clairvoyant,Earth,Elf,70,4000K,1982924,4,8,Celestial Devotees,362,152,67,937,393,214,Attack Enchantment - Earth,Turn all Heart Runestones into Enchanted Earth Runestones.,,,Heart of Elves,Elf HP x 1.5
527,Soulual Seeker,Light,Elf,30,2000K,175136,3,4,Celestial Devotees,157,73,35,378,177,104,Massive Invasion - Light,Launch 5 Light Attacks to all enemies.,,,Heart of Elves,Elf HP x 1.5
528,Heavenly Fairy,Light,Elf,70,4000K,1982924,4,8,Celestial Devotees,326,153,74,844,396,236,Attack Enchantment - Light,Turn all Heart Runestones into Enchanted Light Runestones.,,,Heart of Elves,Elf HP x 1.5
529,Ghost of Willow,Dark,Elf,30,2000K,175136,3,4,Celestial Devotees,148,87,32,356,210,95,Massive Invasion - Dark,Launch 5 Dark Attacks to all enemies.,,,Heart of Elves,Elf HP x 1.5
530,Clairaudient,Dark,Elf,70,4000K,1982924,4,8,Celestial Devotees,307,181,66,794,468,212,Attack Enchantment - Dark,Turn all Heart Runestones into Enchanted Dark Runestones.,,,Heart of Elves,Elf HP x 1.5
531,Wen Zhong the Grand Preceptor,Water,Human,50,4000K,1000000,5,10,Investiture of the Gods,974,535,121,1569,863,218,Last Resort - Water,Transfer drop rate of Heart Runestones into that of Water Runestones for 3 Rounds.,,,Array of Elites,"If the Team includes Water and Light Monsters, by dissolving Runestones of any 3 Attributes in the same Round, Water and Light Attack x 2.5.  If Heart Runestones are also dissolved, there will be a 50% chance of gaining an extra of x 1.5 (the probability can be summed up)"
532,Wen Zhong the Mercy Revealer,Water,Human,99,5000K,5000000,6,15,Investiture of the Gods,1236,679,154,2426,1334,347,Last Resort - Water,Transfer drop rate of Heart Runestones into that of Water Runestones for 3 Rounds.,,,Array of Elites,"If the Team includes Water and Light Monsters, by dissolving Runestones of any 3 Attributes in the same Round, Water and Light Attack x 2.5.  If Heart Runestones are also dissolved, there will be a 50% chance of gaining an extra of x 1.5 (the probability can be summed up)"
533,Dipankara the Monk,Fire,God,50,4000K,1000000,5,10,Investiture of the Gods,1097,608,116,1788,940,211,Defensive Stance EX - Fire,Turn all Earth Runestones into Enchanted Heart Runestones.,,,Ignition of Runes - Fire,Fire Runestones can be dissolved by aligning 2 of them. Drop rate of all Runestones will not be affected by Amelioration or Skills (including those altering the Attribute of dropping Runestones)
534,Dipankara the Enlightened Buddha,Fire,God,99,5000K,5000000,6,15,Investiture of the Gods,1396,773,147,2765,1430,335,Defensive Stance EX - Fire,Turn all Earth Runestones into Enchanted Heart Runestones.,,,Ignition of Runes - Fire & Heart,Fire and Heart Runestones can be dissolved by aligning 2 of them. Drop rate of all Runestones will not be affected by Amelioration or Skills (including those altering the Attribute of dropping Runestones)
535,Yang Jian the General of Fidelity,Earth,Human,50,4000K,1000000,5,10,Investiture of the Gods,1126,493,113,1814,794,203,Battlefield of Drought,Turn all enemies' Attributes into Water; Earth Attack on Water enemies increases for 2 Rounds.,,,Ignition of Runes - Earth,Earth Runestones can be dissolved by aligning 2 of them. Drop rate of all Runestones will not be affected by Amelioration or Skills (including those altering the Attribute of dropping Runestones)
536,Yang Jian the Deity of Fidelity,Earth,Human,99,5000K,5000000,6,15,Investiture of the Gods,1429,626,144,2805,1229,324,Battlefield of Drought,Turn all enemies' Attributes into Water; Earth Attack on Water enemies increases for 2 Rounds.,,,Ignition of Runes - Earth & Heart,Earth and Heart Runestones can be dissolved by aligning 2 of them. Drop rate of all Runestones will not be affected by Amelioration or Skills (including those altering the Attribute of dropping Runestones).
537,Jiang Shang the Tao Achiever,Light,God,50,4000K,1000000,5,10,Investiture of the Gods,1088,530,134,1773,819,244,Defensive Stance EX - Light,Turn all Dark Runestones into Enchanted Heart Runestones.,,,Array of Elites,"If the Team includes Water and Light Monsters, by dissolving Runestones of any 3 Attributes in the same Round, Water and Light Attack x 2.5.  If Heart Runestones are also dissolved, there will be a 50% chance of gaining an extra of x 1.5 (the probability can be summed up)"
538,Jiang Ziya the Celestial General,Light,God,99,5000K,5000000,6,15,Investiture of the Gods,1385,675,171,2743,1248,389,Defensive Stance EX - Light,Turn all Dark Runestones into Enchanted Heart Runestones.,,,Array of Elites,"If the Team includes Water and Light Monsters, by dissolving Runestones of any 3 Attributes in the same Round, Water and Light Attack x 2.5.  If Heart Runestones are also dissolved, there will be a 50% chance of gaining an extra of x 1.5 (the probability can be summed up)"
539,Shen Gongbao the Tao Achiever,Dark,God,50,4000K,1000000,5,10,Investiture of the Gods,1021,625,121,1664,966,220,Attack Enchantment - Dark,Turn all Heart Runestones into Enchanted Dark Runestones.,,,Crescendo,"The lower your HP, the higher the Team Attack, to the max x 2.5."
540,Shen Gongbao the Roaring Tenacity,Dark,God,99,5000K,5000000,6,15,Investiture of the Gods,1299,795,153,2573,1470,349,Attack Enchantment - Dark,Turn all Heart Runestones into Enchanted Dark Runestones.,,,Crescendo - EX,"The lower your HP, the higher the Team Attack, to the max x 3."
541,Celestial Puppet,Fire,Evolve Elements,1,500K,0,5,10,Investiture of the Gods,1200,500,100,1200,500,100,Flame Slam,Deal 5x Fire Damage to all enemies,,,Anger of the Flame,Fire Attack x 2
542,Celestial Divinity - Yuanshi Tianzun,Water,God,99,5000K,5000000,6,20,Ultimate Lords,1340,731,167,2654,1351,381,Aquatic Encirclement,Turn all Runestones into Water Runestones.,,,Undivided Attention,Full Attack x 3 (excluding Runestones' possessing effect of other Attributes)
543,Celestial Master - Tongtian Jiaozhu,Fire,Demon,99,8000K,8000000,6,20,Ultimate Lords,684,1096,80,1272,1965,354,Devil Universe - Fire,Light and Dark Runestones also possess the effect of Fire Runestones for 1 Round.,,,Nature of Demons,"Demon Attack, HP and Recovery x 1.5"
544,Alien Envoy - Lady Blossom,Dark,Demon,99,5000K,5000000,6,15,Adherents of Heresies,715,1109,74,1330,1988,327,Time Extension - Shadow,"For 1 Round, Team Attack x 1.5; extend Runestone-moving time to 8 seconds.",,,Fury of Demons,Demon Attack x 2.5
546,Gnoph-Keh,Water,Beast,30,2000K,175136,3,4,Adherents of Heresies,284,123,13,646,260,35,Massive Attack - Water,Launch 3 Water Attacks to all enemies.,,,Power of the Ocean,Water Attack x 1.5
547,Serpent Soldier,Fire,Beast,30,2000K,175136,3,4,Adherents of Heresies,299,132,11,680,278,31,Massive Attack - Fire,Launch 3 Fire Attacks to all enemies.,,,Power of the Flame,Fire Attack x 1.5
548,Pagan Infant,Earth,Beast,30,2000K,175136,3,4,Adherents of Heresies,329,114,12,747,240,33,Massive Attack - Earth,Launch 3 Earth Attacks to all enemies.,,,Power of the Woods,Earth Attack x 1.5
549,Silver Twilight Adherent,Light,Human,30,2000K,175136,3,4,Adherents of Heresies,226,110,37,545,267,105,Massive Attack - Light,Launch 3 Light Attacks to all enemies.,,,Power of the Light,Light Attack x 1.5
550,Chthonian the Land Dweller,Dark,Demon,30,2000K,175136,3,4,Adherents of Heresies,124,219,17,283,477,96,Massive Attack - Dark,Launch 3 Dark Attacks to all enemies.,,,Power of the Darkness,Dark Attack x 1.5
551,The Deep Ones,Water,Elf,70,4000K,1982924,5,10,The Ancient Terrors,608,320,278,1105,582,593,Aquatic Outrage,Water Attack x 1.5 for 2 Rounds.,,,Anger of the Ocean,Water Attack x 2
552,"Marsh, Servitor of the Dagon",Water,Elf,99,4000K,4000000,6,13,The Ancient Terrors,774,407,354,1477,777,800,Aquatic Outrage,Water Attack x 1.5 for 2 Rounds.,,,Anger of the Ocean,Water Attack x 2
553,Fire Vampire,Fire,Demon,70,4000K,1982924,5,10,The Ancient Terrors,525,842,59,930,1439,238,Blazing Outrage,Fire Attack x 1.5 for 2 Rounds.,,,Anger of the Flame,Fire Attack x 2
554,Donald the Ablaze Thirst,Fire,Demon,99,4000K,4000000,6,13,The Ancient Terrors,667,1069,75,1242,1916,330,Blazing Outrage,Fire Attack x 1.5 for 2 Rounds.,,,Anger of the Flame,Fire Attack x 2
555,Gigantic Mutant Toad,Earth,Beast,70,4000K,1982924,5,10,The Ancient Terrors,1207,424,43,2231,731,93,Sylvan Outrage,Earth Attack x 1.5 for 2 Rounds.,,,Anger of the Woods,Earth Attack x 2
556,Tsathoggua the Toad-like Gargoyle,Earth,Beast,99,4000K,4000000,6,13,The Ancient Terrors,1526,537,54,2993,976,126,Sylvan Outrage,Earth Attack x 1.5 for 2 Rounds.,,,Anger of the Woods,Earth Attack x 2
557,The Delusive Incarnation,Light,God,70,4000K,1982924,5,10,The Ancient Terrors,1070,521,132,2014,919,284,Sacred Outrage,Light Attack x 1.5 for 2 Rounds.,,,Anger of the Light,Light Attack x 2
558,Nodens the Lord of Great Abyss,Light,God,99,4000K,4000000,6,13,The Ancient Terrors,1362,663,168,2698,1226,382,Sacred Outrage,Light Attack x 1.5 for 2 Rounds.,,,Anger of the Light,Light Attack x 2
559,Extraterrestrial Swarm,Dark,Demon,70,4000K,1982924,5,10,The Ancient Terrors,489,865,61,866,1479,248,Evil Outrage,Dark Attack x 1.5 for 2 Rounds.,,,Anger of the Darkness,Dark Attack x 2
560,Mi-Go the Alien Guard,Dark,Demon,99,4000K,4000000,6,13,The Ancient Terrors,621,1099,78,1156,1970,343,Evil Outrage,Dark Attack x 1.5 for 2 Rounds.,,,Anger of the Darkness,Dark Attack x 2
561,Nyarlathotep,Dark,God,99,5000K,5000000,6,13,Ultimate Lords,1280,783,151,2535,1448,344,Wall of Demon,Dodge all Attacks of enemies for 1 Round.,,,Anger of the Darkness,Dark Attack x 2
562,Hastur the Yellow Phantom,Light,God,99,3000K,3000000,6,15,Ultimate Lords,1362,663,168,2698,1226,382,Impasse Enchantment,Turn all Runestones into Enchanted Runestones,,,Occult Force,Team Attack x 2
563,Nero the Sinful Corvee,Light,Demon,99,4000K,4000000,6,15,Mercenaries of the Cat Duke,993,833,104,1848,1493,418,Armory of Light Spirits,All Runestones also possess 50% effect of Light Runestones for 1 Round.,,,War Drum of Demons,Demon Attack and Recovery x 1.5
564,Protometallic Dragon Uranus,Light,Dragon,99,5000K,5000000,6,20,Ancient Dragons,3154,986,33,5299,1424,39,Mobile Artillery,Deal non-Attributive Damage as much as 50x Monster's Attack to all enemies.,,,Deadly Hit,"30% chance for Attack x 7 each Round.  If HP is below 10%, the chance increases to 50%"
565,Pyrokinesis - The Scarlet Queen,Fire,Beast,99,5000K,5000000,6,15,Travelers from Afar,1486,767,68,2915,1395,158,Besiegement - Beast,An extra Attack will be launched by each Beast for 1 Round.,,,Might of Beasts,Beast Attack x 2.5; Recovery x 1.5
566,Dragon-crowned Astrologer Frog,Water,Beast,70,1000K,495731,4,5,Travelers' Partner,1267,399,48,2638,767,119,Hunting Mode,"The Monster's Attack x 3 for 2 Rounds. If neighbouring Members are also Beasts, the effect could be shared with them.",,,Power of the Ocean,Water Attack x 1.5
567,Flame-ringed Taoist Ladybug,Fire,Beast,70,1000K,495731,4,5,Travelers' Partner,1334,426,42,2776,820,106,Fight Safe,"If <5 Combos are made, 20,000 HP will be recovered for 1 Round; otherwise, Attack x 2.  Only the first batch of Runestones dissolved will be counted.",,,Power of the Flame,Fire Attack x 1.5
